Name,Mean_SPVgeneral,Skew_SPVgeneral,Variance_TA,Skew_TA,Kurtosis_TA,CREDI_TA,Down Hours_TA,Mean_WOF20,Variance_WOF20,Down Hours_WOF20,Days above 25,Days below -2,cluster,is_centroid,selected
2063_MRM2_SP126,-0.8422316925687229,-0.9631197582991726,-0.13625445715608267,-0.8984342956827335,-0.48088380373595796,-0.7606576497472644,-0.29908170469282386,1.037185591718658,-0.0020318089012811057,-0.8699691906344287,-0.855062752625042,-0.1527060245596508,3,False,True
2064_MRM2_SP126,0.5718702568845366,-0.6153743790029579,-0.4674340105334071,-0.007447225570104881,-0.8689823367253683,1.5617362553643424,-1.6990035489561306,-0.7984997859354857,-0.9695808712600946,-0.22143293093846156,-0.35813249558844445,-0.7241221164602797,2,False,False
2016_AWCM_SP245,-0.18152247375952657,0.0961564783799319,-0.07460658386458338,-0.5851377424362285,0.3563294270013733,0.4931102955303288,-1.0912326019345,1.3166454022755012,0.8358666649060954,-0.8804294528875894,0.3872628899664519,-0.1527060245596508,3,False,False
2017_AWCM_SP245,-1.31684771432715,-0.8608459261331585,-1.1384697189284678,0.1490622388628375,0.5720714668345604,1.2090007036772539,-0.6473549439973538,2.0154837342675473,1.3112308960452674,-0.5770818475459274,-0.10966736707014567,-0.7241221164602797,1,False,False
2018_AWCM_SP245,-1.1373911969791966,-0.14547282723696495,-1.0601558356883478,1.249485806806711,-0.06903894515129833,0.9740015491321138,0.9301179634408113,0.9976115077374075,0.8910173459202724,-0.4829394872674806,-0.35813249558844445,-0.7241221164602797,1,False,False
2019_AWCM_SP245,0.7268658522085876,-0.7900297987278839,0.30357430281170555,1.3020730174774846,-1.021495138724009,2.2786444100421472,0.9096313023052508,0.7267238509832392,0.06492061092880187,-1.5289657125835567,2.126518789594543,-0.8669761394354369,2,False,False
2020_AWCM_SP245,-0.9174340164037533,-0.5665809121820934,-0.43079851352090953,0.27209994500590123,-0.5543933368741607,-0.2162845774567945,0.5955024982266551,0.07013775782330245,0.14422289868077498,-0.30511502896374765,0.13879776144815312,-0.8669761394354369,2,False,True
2021_AWCM_SP245,-1.388099610781323,0.3893312167996463,0.003313827452960383,-0.8920019615416382,0.6221567116863932,1.4056264888148136,-2.2248278514355193,0.42866229751381163,0.8034154050575739,-1.16285653372293,0.13879776144815312,-0.5812680934851224,0,False,False
2022_AWCM_SP245,-0.2563150178084768,-0.004772349594157937,-0.24861613100580773,1.210830483828862,-0.45419080853906296,1.268306386523256,1.298877863880902,-1.0638259278025362,-1.1023843423568955,0.09237493665636125,1.8780536610762446,-0.8669761394354369,2,False,False
2023_AWCM_SP245,-1.0376440655746062,-0.35015978176227847,-0.06477397831050767,-1.6031044252456503,-0.31261837700858836,-0.724671661363667,-1.5419391469168329,1.6136888008649497,0.4891490776582279,-0.8281281416217857,-0.6065976241067432,0.41871006734097815,3,False,False
2024_AWCM_SP245,0.22625252882197797,-0.3987653076468335,0.4284436321742974,-1.8957210961517876,1.6603740517007137,0.4055331471470618,-1.384874744877535,0.21344118857069314,0.08762255635845186,0.0819146744032005,0.6357280184847507,0.41871006734097815,0,False,False
2025_AWCM_SP245,-0.6215000252514992,-0.4286865078168582,-0.11775751258088918,1.1005423632706055,-0.1890515131158698,1.0958473718487245,-0.10104398038240486,1.3012027714542198,1.4670833213769605,-0.5561613230396059,1.8780536610762446,-0.8669761394354369,1,False,False
2026_AWCM_SP245,-0.5116527500892877,-0.41025307568911573,2.960443224993423,-1.762828310769906,1.2712724568843468,-1.2484218559276992,0.06284930870207983,-0.901515796728175,0.944009213177623,1.4940500785799031,0.6357280184847507,2.418666388993179,0,False,False
2027_AWCM_SP245,-0.4077397696872381,-0.3559652426771832,0.8504326118266244,-1.68139274295981,0.6079026423957966,-0.49595879679868055,-0.2034772860602078,0.5932911045256545,0.6280689181761258,-0.9431910264065541,-0.35813249558844445,1.1329801822167642,0,False,False
2028_AWCM_SP245,-0.12393972329788752,-0.9404406111802798,1.4747477423101756,-0.3021777517551795,-0.6462934674206583,-0.3525702995179947,1.1759578970675384,0.3405322243772762,0.08939790937108841,-1.0059525999255186,0.6357280184847507,0.7044181132912926,2,False,False
2029_AWCM_SP245,-1.4264278666849226,-0.10412940032316524,-0.21085188472972707,0.46631546825225806,0.38818545128816584,-0.43606412709491765,2.2276065020263154,0.6971661715991981,-0.5930779555084928,-1.246538631748216,0.3872628899664519,-0.1527060245596508,0,False,False
2030_AWCM_SP245,-0.8594490719427985,-0.03310910079917852,0.321308476856081,0.3793906412436397,-0.5195111341589339,-0.3160215225331205,1.4832578141009471,-0.5293443906267836,-1.1708474129242252,-0.12729057066001473,-0.35813249558844445,-0.5812680934851224,2,False,False
2031_AWCM_SP245,-0.33982178972442506,-0.3778361827647556,0.6989665512309042,-1.2224087590508743,-1.4493091280194674,-0.559925499693258,-1.2346392298834241,1.0005801569281392,0.30787024646774963,-0.9431910264065541,-0.855062752625042,0.2758560443658209,3,False,False
2032_AWCM_SP245,-1.0220506337713158,0.8666653761615062,-0.7807565215756327,-0.9417111672071753,-0.7247597648593068,-0.5051263649109824,-1.1048903760248736,0.8345179168161461,0.8066406630141302,-0.5352407985332844,-0.855062752625042,0.13300202139066367,0,False,False
2033_AWCM_SP245,-1.8041098319328082,1.8772178526285033,-1.5498371098386838,-0.9385866069859649,-0.4688374251291384,-0.9494531988027972,-0.3537128010543188,0.22325647015976896,0.8490494977163363,-0.2841945044574261,-0.855062752625042,-0.295560047534808,0,False,False
2034_AWCM_SP245,-0.3169367228557168,0.24552831860524416,-0.6407245862273327,0.5277093363378023,2.7987669418486436,0.21910527756638926,1.1896156711579122,1.4868122030218844,0.10569213634147659,-1.2883796807608592,0.13879776144815312,0.41871006734097815,1,False,False
2035_AWCM_SP245,0.05329879835660685,0.16978175780733346,0.5798610675637229,-2.7015446777390557,-0.18952461648664623,-1.347552541057032,-1.2756125521545452,0.384533083524086,-1.1609136651931673,-0.7549063058496603,-0.855062752625042,2.561520411968336,3,False,False
2036_AWCM_SP245,0.7158207256264155,-0.06425803516653777,1.2395117160588918,0.6700811084984006,-0.9182773132059173,-0.16408749982058468,0.7867113354918872,0.1864177834996917,0.11774675173391501,0.20743782144112963,0.13879776144815312,-0.009852001584493559,2,False,False
