cy_id,PC_1,PC_2,cluster,is_centroid,selected
2015_AWCM_SP126,-1.8581634170680055,0.591648978672432,0,False,False
2016_AWCM_SP126,-0.9512304095445527,-0.9229147207497459,0,False,False
2017_AWCM_SP126,2.81118587816711,4.335695387889468,1,False,False
2018_AWCM_SP126,-2.3915305200611394,0.04052020164661317,0,False,False
2019_AWCM_SP126,-4.838559218804079,0.705024603062356,0,False,False
2020_AWCM_SP126,-0.130325612065788,-1.7192539390257133,0,False,False
2021_AWCM_SP126,-1.8758314822964939,-1.55326704981001,0,False,False
2022_AWCM_SP126,-2.9172954232204007,0.05098546552538859,0,False,False
2023_AWCM_SP126,-3.2114989405129863,-2.006664838955725,0,False,False
2024_AWCM_SP126,0.25512655873767903,5.497158710413296,1,False,False
2025_AWCM_SP126,1.0848963324444956,2.2716168446722453,1,False,False
2026_AWCM_SP126,0.009929267977612765,-0.7889816365849275,0,False,False
2027_AWCM_SP126,-0.9453972597345832,1.0308447404850418,0,False,False
2028_AWCM_SP126,0.4544440428470082,2.174934870109705,1,False,False
2029_AWCM_SP126,-0.7238988448743198,-0.049308417273390054,0,False,False
2030_AWCM_SP126,-1.158737172378965,-1.4287550864383218,0,False,False
2031_AWCM_SP126,1.4500632286116266,-2.016493162989815,1,False,False
2032_AWCM_SP126,-0.9381250203085019,0.04445057635277984,0,False,False
2033_AWCM_SP126,-1.0917456904698029,-0.2716811354692726,0,False,False
2034_AWCM_SP126,-2.950482105300858,1.2996604973685277,0,False,False
2035_AWCM_SP126,-3.6856110860663427,-0.10525188299996827,0,False,False
2036_AWCM_SP126,-1.6699238640864154,0.38021950589777326,0,False,False
2037_AWCM_SP126,0.5168829680056863,-3.698297088774661,0,False,False
2038_AWCM_SP126,1.5035653747881654,-2.820640020325421,1,False,False
2039_AWCM_SP126,-2.747094880848021,-3.9209070688708674,0,False,False
2040_AWCM_SP126,-1.249582228067273,2.5171762417066437,0,False,False
2041_AWCM_SP126,0.32141549994433655,-0.9732274806946791,1,False,False
2042_AWCM_SP126,1.7829593810041162,5.035279064865008,1,False,False
2043_AWCM_SP126,-0.6091396441460769,0.03394859264792229,0,False,False
2044_AWCM_SP126,-4.6910963139048585,-1.9008505478324926,0,False,False
2045_AWCM_SP126,-3.8643257400486153,-0.24668362581886707,0,False,False
2046_AWCM_SP126,0.6388895378585239,-1.8922393983139603,1,False,False
2047_AWCM_SP126,0.8851192596098898,-1.5925254719318866,1,False,False
2048_AWCM_SP126,-0.6135807015533901,-2.3152542273485444,0,False,False
2049_AWCM_SP126,0.2814949164499534,-1.4653647536444436,1,False,False
2050_AWCM_SP126,0.9831762186472319,2.336278495665146,1,False,False
2051_AWCM_SP126,0.9644178118789506,0.5622069523208184,1,False,False
2052_AWCM_SP126,0.014380447240842056,-0.1596762836265446,0,False,False
2053_AWCM_SP126,1.1416151278376903,-1.4615292810508194,1,False,False
2054_AWCM_SP126,-1.9635760324158253,-0.7965463131987458,0,False,True
2055_AWCM_SP126,0.4285321586610161,-1.8274820508096457,1,False,False
2056_AWCM_SP126,0.8119506254624564,0.10044502014141456,1,False,False
2057_AWCM_SP126,0.7648654333589501,-2.245574047720742,1,False,False
2058_AWCM_SP126,1.7204580306863282,1.0740511150938048,1,False,False
2059_AWCM_SP126,-0.2204692379068261,-1.0197570144548016,0,False,False
2060_AWCM_SP126,-0.40700552990018635,0.5862977373000652,0,False,False
2061_AWCM_SP126,1.1127237408651593,-2.60240233438754,1,False,False
2062_AWCM_SP126,-3.7510831595295215,-2.315948658643688,0,False,False
2063_AWCM_SP126,-4.032551208856782,-3.8412055552962348,0,False,False
2064_AWCM_SP126,0.04582566686593168,-1.615449813540311,0,False,False
2065_AWCM_SP126,0.8471019096423517,0.12137180210329805,1,False,False
2066_AWCM_SP126,-0.20209100265175017,1.689418280304802,1,False,False
2067_AWCM_SP126,3.51512369643424,-2.5995881773515834,1,False,False
2068_AWCM_SP126,-1.9657099465261367,-3.116514623370689,0,False,False
2069_AWCM_SP126,1.3237259530665213,-1.731558059108811,1,False,False
2070_AWCM_SP126,4.481620423195436,1.50370803816589,1,False,False
2071_AWCM_SP126,-0.6184350354361642,-2.7529859011030164,0,False,False
2072_AWCM_SP126,0.7047558670178934,-1.671634963854939,1,False,False
2073_AWCM_SP126,1.427915708148103,-1.1672667033839061,1,False,False
2074_AWCM_SP126,-0.8241879602460195,-3.076593536698725,0,False,False
2075_AWCM_SP126,-0.8784470112297394,-2.457945494206512,0,False,False
2076_AWCM_SP126,0.5080332703476866,1.9639276934872933,1,False,False
2077_AWCM_SP126,0.5256038903424205,-1.4641912924269533,1,False,False
2078_AWCM_SP126,-0.030785653617746066,-2.431720095471776,0,False,False
2079_AWCM_SP126,-1.0434465156791028,1.7062904652759876,0,False,False
2080_AWCM_SP126,-0.4750940787768792,0.02332864573256556,0,False,False
2081_AWCM_SP126,-1.4828569966445901,3.906848436377902,0,False,False
2082_AWCM_SP126,-1.0649651081884288,-0.17254055089130235,0,False,False
2083_AWCM_SP126,-2.6659614650516428,0.7142977779266868,0,False,False
2084_AWCM_SP126,-0.6781163565126312,-2.7581324435164425,0,False,False
2085_AWCM_SP126,-1.383844885156516,-1.601650726132498,0,False,False
2086_AWCM_SP126,1.9733321420469858,-1.8817621926422592,1,False,False
2087_AWCM_SP126,-1.5786659869467499,-3.3939017285746886,0,False,False
2088_AWCM_SP126,-0.5821542117070091,0.04513848041342361,0,False,False
2089_AWCM_SP126,-2.054086937459367,-2.724700344288987,0,False,False
