Name,Mean_SPVgeneral,Skew_SPVgeneral,Variance_TA,Skew_TA,Kurtosis_TA,CREDI_TA,Down Hours_TA,Mean_WOF20,Variance_WOF20,Down Hours_WOF20,Days above 25,Days below -2,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,selected_nonpca,selected_pca
2035_BCCS_SP126,-1.945346945735847,2.276163397807728,-0.6698640457906513,-0.0210427808649204,-0.2897513670157781,-1.5661077050747958,0.2130848236961908,-0.1904426079117486,-0.8498355793793214,-0.3678766024827122,-0.6065976241067432,-0.1527060245596508,-1.458709886515308,-1.946771985632263,1.1027309398314398,-0.9377290837080144,2.227224891287596,0.0212752868995169,False,False
2036_BCCS_SP126,0.6092077206488697,0.492111843877113,-0.104597271783245,0.987877669837037,0.2137721101397023,1.0043995229074525,0.6569624816333369,0.5071581789389948,-0.1923747590746671,-1.2883796807608592,-0.1096673670701456,-0.8669761394354369,-0.8856469122377265,1.4129159799726394,-0.0955404801362376,-1.1420790422326477,-0.0808145710593661,-0.3296423573932319,False,False
2037_BCCS_SP126,0.4647881114975096,0.4993263195902157,0.4466347166626119,0.3610469860355882,0.5400419127521542,0.8326139321504114,0.5750158370910945,-0.0153395530527088,0.6163871028482245,0.7618317208586499,0.1387977614481531,0.7044181132912926,0.5691958602553964,0.6999685640036171,1.0586368948617222,0.6076520428064303,-0.3039506160489535,0.3814660666333817,False,True
2038_BCCS_SP126,-0.5225388697414582,1.7341880892671755,0.1571212633049071,-1.5552838426282176,0.9846122626903449,-0.9382918468612984,0.151624840289509,-0.4764839393153359,0.5137285549722986,0.7932125076181322,-0.855062752625042,1.2758342051919216,0.3831275410012807,-2.332213745418002,1.7517631710006287,0.6746019947774486,0.1841354811058104,1.047456938357433,False,False
2039_BCCS_SP126,1.1387190621725287,0.6236919805564299,-0.2406112250486184,0.5564518500945193,-1.405964577736175,0.7059874288667306,0.0765070827924535,-1.3361681094087778,0.0107568344983776,1.2011627354914018,-0.3581324955884444,-0.8669761394354369,0.2285895300993434,1.1231156682048833,-0.8721263622670181,1.6270099488875678,1.6935270976850036,0.0881140141972846,False,False
2040_BCCS_SP126,-1.384413065674637,1.5018456654352677,0.3460761974580151,0.4652510483158122,0.1794271836690941,-1.2302356956526446,1.7973866181795428,-0.2288081578068708,0.0314981553077941,-0.6921447323306958,0.1387977614481531,0.2758560443658209,-0.2351538387572385,-0.6527802871001182,2.213112982588512,-1.2503611698051833,1.4091914150086888,-0.7912217073265818,False,False
2041_BCCS_SP126,-1.556851109931852,2.379032164846396,0.6629241307745875,-0.4220243592437954,-0.1070844253059522,-1.26038965729681,0.1311381791539484,-1.470510420608446,-0.9731897941460208,-0.1168303084068539,-0.3581324955884444,0.5615640903161353,0.293215096540416,-2.0859791526975715,1.165110758560394,-0.7550436698117389,2.3782362796298977,0.5666320675897194,False,False
2042_BCCS_SP126,-2.145783540026628,2.556565974539,0.0476123442786282,0.2230553154691249,0.1938299008829986,-1.519007278614002,1.4764289270557605,-0.6996840950302312,0.1236208933687375,0.1760570346816473,-0.3581324955884444,-0.295560047534808,-0.938378857133066,-1.3225264620674952,2.607361975582928,-0.4918059134028034,2.466408283691432,-0.0598383539491064,False,False
2043_BCCS_SP126,-0.7824416990822399,1.5057669244615486,-1.1223963497287002,-0.0742383888270184,-0.937710183160918,0.963270423407687,-1.2482970039737975,0.6756160652175947,1.6270016469899502,0.4480238532638271,-0.855062752625042,-0.8669761394354369,-2.7080004889854905,-0.2441386887509499,-0.1361576694226356,1.740058622655175,0.1134979557907265,0.3016843236072583,False,False
2044_BCCS_SP126,0.1598440467915166,0.9017164763515654,-0.7891479272433748,0.5181088501286686,-0.6968127879958308,-0.7799903685496486,-0.1283595285631523,0.5496548100487209,-0.6227728133161103,-0.3051150289637476,-0.6065976241067432,-0.5812680934851224,-1.1884902721440287,-0.3507094311494653,-0.3115115056154569,-0.2494824536955167,0.951717634816409,-0.6211663815305498,False,False
2045_BCCS_SP126,0.2218504157063262,-0.5553396587197341,0.1518035911046115,0.1563910633621665,-0.3977513824709018,-1.1410970903292648,0.4384380961873573,1.53523186449672,1.1199846758662628,0.0086928386310751,-0.1096673670701456,0.4187100673409781,-0.2912109642917036,-0.321338390320365,0.7627570106564264,0.521450463727846,-1.0712611006439785,-1.7465899939287777,False,False
2046_BCCS_SP126,0.655271416972064,-1.062576700864496,0.0812502993270792,-0.56398531654292,0.0689195044402552,-1.6150315123449992,0.7252513520852055,-1.096946324009225,0.0462315323246241,0.4689443777701486,-0.855062752625042,0.8472721362664498,1.5971708526877086,-1.1570610685027147,0.0403359626116478,0.5423147294763527,0.2331788202730021,-0.4716749117954005,False,False
2047_BCCS_SP126,-0.2125342014331884,-0.5239852570441574,-1.095040612003366,-0.0665645982752087,-1.0080304582441104,-0.2467777860174153,-0.1829906249246472,-0.1750535174014772,-0.1473845448456704,0.2388186082006119,-0.855062752625042,-0.7241221164602797,-0.8440021646646424,-0.2894683512934548,-1.1295446177129955,0.602416298888728,0.7245033442359349,-0.3611196800400298,False,False
2048_BCCS_SP126,1.5689365046431103,-1.5751031209387865,2.4040543823340066,-0.8287573071234207,1.0288184557557267,0.416827175971857,1.2101023322934727,-1.744688810641848,-1.9124499737942044,0.62584831156756,2.374983918112842,1.8472502970925504,5.136454233256401,1.0464511780957737,0.1541044923916922,-1.1704177174854422,-0.4082801258225944,0.835504658948859,False,True
2049_BCCS_SP126,-0.3279456880656532,0.1405778230498933,1.5171354032271052,-3.048890554466344,3.8818859880255783,-2.7335881416649146,0.2677159200576857,-0.6254230917545669,-0.3486880520914212,0.9919574904281868,-0.855062752625042,2.1329583430428647,2.767119571248619,-3.9620365259220622,2.6042836329347194,-0.3809017544619312,-1.4696013142289348,2.11431298403554,False,False
2050_BCCS_SP126,0.4087891702200018,-0.6861067067947666,-0.160880704777375,-0.5034208452441464,0.6561025387714827,-0.5565470435792865,0.1925981625606302,1.1064432880662267,-0.2749301206945277,-0.5457010607864451,-0.3581324955884444,0.2758560443658209,-0.0033325364417771,-0.5453192950409771,-0.0245421366283462,-0.6676889022204395,-1.1893670326885395,-0.3928304780882526,False,False
