cy_id,Days above 18,Days below 15,Days above 25,Days below -2,Days with $\geq 1$ hour above 18,Days below with max temp below 15,Averaged temperature distance,Averaged temp difference above 18,Averaged temp difference below 15,Hourly temperature variation,Annual average temperature,Daily temperature variation,Monthly temperature variation,Hottest temperature,Coldest temperature,# consecutive days above 20,# consecutive days below 0,cluster,is_centroid,selected
2031_AWCM_SP126,73.0,231.0,0.0,2.0,135.0,182.0,5.670326312785388,6.385436683789955,1.473229095890411,6.338847337418319,12.276131878995432,5.952952638553897,5.627667473782023,31.46299,-4.12046,9,2,2,False,False
2032_AWCM_SP126,59.0,233.0,0.0,12.0,133.0,189.0,6.08306330936073,7.180389920091323,1.168789176940639,6.707469682101396,11.26474860997268,6.353830207259466,5.964990165688563,29.1602,-8.63844,4,10,3,False,False
2033_AWCM_SP126,55.0,250.0,1.0,12.0,117.0,189.0,6.0054418778538805,7.1388780662100455,1.1882797636986302,6.540766594879218,11.37111764954338,6.168538025525302,5.668523783007762,30.25487,-7.4311,11,12,8,False,False
2034_AWCM_SP126,48.0,268.0,1.0,16.0,100.0,205.0,6.63154723630137,7.919451144977168,1.0783370673515982,7.045843659956094,10.525126898401826,6.719764627716729,6.387173910191317,30.16549,-10.05207,6,6,0,False,False
2035_AWCM_SP126,33.0,271.0,0.0,15.0,103.0,206.0,6.317730729452054,7.908255455479452,0.8531138299086758,6.430631668143534,10.388496930365298,6.096980943721064,5.848921814829475,30.77268,-8.0233,2,12,7,False,False
2036_AWCM_SP126,58.0,256.0,1.0,6.0,106.0,204.0,6.36693171347032,7.5387176586758,1.1693263310502284,6.841875271092007,10.982727175546447,6.508954328128532,6.201917977201294,31.89622,-8.76119,6,7,4,False,False
2037_AWCM_SP126,60.0,237.0,2.0,0.0,126.0,210.0,5.450435089041096,6.438299011415525,1.284369455479452,5.759361941110176,12.11830382191781,5.310741940301132,4.717491093410086,33.07513,-2.15431,7,2,11,False,False
2038_AWCM_SP126,58.0,248.0,2.0,0.0,149.0,165.0,5.595529312785389,6.488148246575342,1.320071348173516,6.12937881869449,12.044613383561645,5.630593092177734,5.090458827730045,33.2061,-3.14342,9,2,2,False,False
2039_AWCM_SP126,33.0,269.0,0.0,3.0,97.0,206.0,5.426603971461187,7.101884028538812,0.7858354200913242,5.444310837678708,11.14506686872146,5.102634479865621,4.787503220478808,29.05029,-6.30088,6,5,7,False,True
2040_AWCM_SP126,52.0,249.0,4.0,15.0,118.0,186.0,6.817584287671234,7.81477995890411,1.2872385662100458,7.355442834238438,10.768486033697634,6.970578736127878,6.598841162229427,33.12392,-7.04987,7,15,8,False,False
2041_AWCM_SP126,44.0,252.0,4.0,6.0,130.0,185.0,5.862613124429224,6.834427164383561,1.3201221392694067,6.502438624444553,11.77763115410959,6.069512768552084,5.529786123742735,33.94338,-7.91297,13,3,12,False,False
2042_AWCM_SP126,94.0,233.0,10.0,22.0,134.0,182.0,7.075406761415525,7.30370594977169,1.8830818812785384,8.034345599407295,11.690757001141552,7.687558813181551,7.34894966360657,33.0957,-7.74939,21,13,5,False,False
2043_AWCM_SP126,58.0,259.0,4.0,8.0,107.0,198.0,6.2397416015981735,7.27332325,1.275429502283105,6.694068765335024,11.311117402968035,6.3424572337691,5.924226488275272,31.85631,-6.15059,19,6,4,False,False
2044_AWCM_SP126,21.0,273.0,0.0,6.0,92.0,213.0,6.212803902968036,8.0822928413242,0.651667214611872,6.013594509891245,10.103944377276866,5.715060528895176,5.351808628710606,27.1928,-8.81599,1,7,9,False,False
2045_AWCM_SP126,33.0,278.0,0.0,4.0,89.0,206.0,6.616938207762557,8.23372346347032,0.8543462089041096,6.586184649560577,10.09175421004566,6.264786830714016,6.066177985148013,29.77759,-7.54954,6,8,9,False,False
