cy_id,integrated_temp_distance,avg_annual_temp,cluster,is_centroid
2015_AWCM_SP126,6.121808012557079,11.1253102043379,5,False
2015_AWCM_SP245,6.139129458904109,10.845146333333334,3,False
2015_BCCS_SP126,7.122584428082192,9.365424044520548,4,False
2015_BCCS_SP245,6.557754430365296,11.07924112671233,6,False
2015_CMR5_SP126,7.36252175456621,9.381686683789956,4,False
2015_CMR5_SP245,7.729013584474885,8.506534470319634,4,False
2015_ECE3_SP126,6.316273908675798,11.123296221461189,5,False
2015_ECE3_SP245,5.187535832191782,12.152167743150686,2,False
2015_MEHR_SP126,5.6407139760273965,11.162646633561645,1,False
2015_MEHR_SP245,6.131436440639269,10.42585161415525,3,False
2015_MRM2_SP126,6.508710256849316,10.971683076484018,8,False
2015_MRM2_SP245,6.35008352283105,10.490267121004566,3,False
2016_AWCM_SP126,6.17787244063927,11.273661136156647,5,False
2016_AWCM_SP245,5.460495034246575,10.993410737704918,1,False
2016_BCCS_SP126,6.383748668949773,10.446387306466304,3,False
2016_BCCS_SP245,6.845368643835616,9.173009328324223,4,False
2016_CMR5_SP126,6.059846859589041,11.068735750227686,5,False
2016_CMR5_SP245,5.527825794520548,11.529124059653917,1,False
2016_ECE3_SP126,5.8966608413242,11.476310258424409,1,False
2016_ECE3_SP245,6.71660472260274,11.174035121812388,6,False
2016_MEHR_SP126,5.766629138127854,12.099613905965391,2,False
2016_MEHR_SP245,7.027746007990868,9.750991399134792,4,False
2016_MRM2_SP126,6.26287583105023,11.779481976320582,0,False
2016_MRM2_SP245,6.384523406392694,11.966401281876138,7,False
2017_AWCM_SP126,6.731183426940639,12.279843404109588,7,False
2017_AWCM_SP245,6.945401046803653,11.234656071917808,6,False
2017_BCCS_SP126,6.458892809360731,12.203822355022831,7,False
2017_BCCS_SP245,6.9293680445205466,10.228956692922376,4,False
2017_CMR5_SP126,5.921677430365296,10.74793501484018,3,False
2017_CMR5_SP245,7.361551605022831,9.22061984018265,4,False
2017_ECE3_SP126,5.78751460502283,13.003980235159815,9,False
