cy_id,F1,F2,F3,F4,F5,cluster,is_centroid
2015_1_1,12.191003592465751,194.0,136.0,12.152167743150686,5.187535832191782,1,False
2016_1_1,11.259510311643837,183.0,133.0,11.174035121812388,6.71660472260274,1,False
2017_1_1,11.491118867579912,213.0,100.0,11.319362544520546,6.031362037671233,3,False
2018_1_1,10.821379968036528,200.0,86.0,10.76269953538813,5.366407765981735,3,False
2019_1_1,12.306812558219178,204.0,119.0,12.072995114155251,5.87428194520548,3,False
2020_1_1,11.942645416666666,187.0,124.0,11.696758352686702,5.372829864155252,2,False
2021_1_1,11.031077135844749,198.0,120.0,10.909593796803652,6.272159968036529,3,True
2022_1_1,11.329474378995432,192.0,127.0,11.398022909817351,6.189230142694065,3,False
2023_1_1,12.460708964611872,177.0,128.0,12.388252735159815,5.315449707762556,2,False
2024_1_1,11.737119257990868,187.0,143.0,11.600467440801456,6.269631107305935,1,False
2025_1_1,11.97304882648402,187.0,135.0,11.883577698630138,6.088363892694064,1,False
2026_1_1,12.0597922043379,176.0,125.0,11.93543671347032,5.523860021689497,2,False
2027_1_1,10.723843102739728,197.0,114.0,10.608620673515984,6.8024051826484015,3,False
2028_1_1,12.468701784246576,178.0,112.0,12.3304270787796,4.990127755707763,2,False
2029_1_1,11.42427289954338,183.0,137.0,11.438725858447487,6.460528675799087,1,False
2030_1_1,11.328837168949768,197.0,137.0,11.15977689954338,6.2331174680365296,1,False
2031_1_1,9.70497217694064,201.0,132.0,9.524693812785388,7.890230979452054,3,False
2032_1_1,12.53180688584475,188.0,135.0,12.511205975637523,6.028744115296804,1,False
2033_1_1,12.054057956621005,190.0,133.0,12.024255543378995,6.053856906392693,1,False
2034_1_1,12.1331384086758,204.0,97.0,12.098663376712327,5.411650207762556,3,False
2035_1_1,11.279817853881278,193.0,109.0,11.20226443150685,5.734591668949772,3,False
2036_1_1,11.993211083333332,191.0,129.0,11.830353483606556,5.575230568493151,1,False
2037_1_1,10.656818050228312,190.0,115.0,10.33482144634703,6.7418411495433785,3,False
2038_1_1,10.834953079908676,185.0,110.0,10.650603039954335,6.39902924086758,2,False
2039_1_1,12.518988227168949,189.0,140.0,12.529374452054794,5.935365251141552,1,False
2040_1_1,12.119736994292236,196.0,121.0,11.929863148907105,5.808570835616438,3,False
2041_1_1,12.583547035388127,172.0,150.0,12.501861894977168,5.690949778538812,0,False
2042_1_1,12.344579907534246,165.0,153.0,12.415307496575345,6.692294010273973,0,True
2043_1_1,12.21420570890411,178.0,145.0,12.114422970319636,5.807278915525113,1,False
2044_1_1,11.262996966894976,182.0,112.0,11.202688730646628,5.943797076484017,2,False
2045_1_1,10.97759199086758,203.0,138.0,10.988639164383562,6.821831561643836,1,False
2046_1_1,11.410636946347031,210.0,109.0,11.171574921232876,6.063819866438355,3,False
2047_1_1,11.544922420091323,195.0,135.0,11.48435728196347,6.120247350456621,1,False
2048_1_1,13.32494635844749,151.0,173.0,13.304640585154823,5.581142878995433,0,False
