Name,Year,Mean_SPVgeneral,Skew_SPVgeneral,Variance_TA,Skew_TA,Kurtosis_TA,CREDI_TA,Down Hours_TA,Mean_WOF20,Variance_WOF20,Down Hours_WOF20,Days above 25,Days below -2
2016_BCCS_SP126,2016.0,0.0218987851598173,1.737179371665894,44.014731031658165,-0.1865003918690108,-0.5376240169453168,-6260.25677469185,7450.0,0.2628050006088975,0.0346969577215275,339.0,0.0,10.0
2017_BCCS_SP126,2017.0,0.0225919723744292,1.652622824532339,51.63824531931038,0.2698883376098093,-0.5307293963183572,9063.716805308142,7665.0,0.2700832676992554,0.0348953515874543,365.0,9.0,2.0
2018_BCCS_SP126,2018.0,0.021345609741248,1.7791688547358129,45.55391230390807,0.2060428062486745,-0.2379883998303711,-2652.053624691865,7727.0,0.2869528966777029,0.0346286362132836,311.0,2.0,5.0
2019_BCCS_SP126,2019.0,0.019716456392694,1.857714146685041,49.49018993881887,0.2565814933132769,-0.3966526671081762,-9306.426544691873,7728.0,0.2512633978510992,0.030946469888816,388.0,3.0,7.0
2020_BCCS_SP126,2020.0,0.0220839060121765,1.716721350546368,45.08222021903141,-0.104471660386886,-0.7298019883949425,527.9421053081434,7213.0,0.2385183030660527,0.0311206201169426,380.0,0.0,7.0
2021_BCCS_SP126,2021.0,0.0211832443683409,1.736051724182999,44.80165785042586,-0.111101503248184,-0.0059064591509159,6082.180435308107,7306.0,0.2905143269652802,0.0361154475603039,292.0,4.0,11.0
2022_BCCS_SP126,2022.0,0.0196426025114155,1.84195223501044,40.78610379706338,0.1897150253903998,-0.418982608194089,-3976.09720469187,7611.0,0.2584228017784881,0.0331183191580018,347.0,0.0,3.0
2023_BCCS_SP126,2023.0,0.0216523767123287,1.7233157069602234,34.97567974753433,0.3306730762368574,-0.3817309700537521,2125.7051453081367,7521.0,0.2523840026004997,0.0331227918223999,330.0,1.0,0.0
2024_BCCS_SP126,2024.0,0.0188030631659056,1.9705954295724093,35.78872674222377,0.4441859475757986,0.0075705649287969,-6817.007934691856,7745.0,0.2651109673351854,0.034793983328709,296.0,1.0,1.0
2025_BCCS_SP126,2025.0,0.0217411578386605,1.749008423839694,42.938257734246704,0.2015792938639405,-0.3796863355697097,11600.458415308149,7433.0,0.2866302517156956,0.0334528551466653,271.0,3.0,0.0
2026_BCCS_SP126,2026.0,0.0203698830289193,1.7966341094175604,28.147393207264106,0.2005596066816055,-0.4066330468138921,3796.99491530818,7492.0,0.2991097877738453,0.0337872721378807,170.0,0.0,0.0
2027_BCCS_SP126,2027.0,0.0209525866057838,1.8294220820446567,44.45351591889151,0.0306449466128286,-0.7793331884992307,-6944.95234469186,7304.0,0.250672721327904,0.0316000215203464,324.0,0.0,4.0
2028_BCCS_SP126,2028.0,0.0212842746575342,1.7700675752841386,44.53829238614068,-0.1288307572812179,-0.5320232482586675,-2291.539034691864,7405.0,0.2590295385571666,0.0338320012575636,315.0,0.0,9.0
2029_BCCS_SP126,2029.0,0.0209307983257229,1.8125996045809485,37.860127458719845,-0.0323616423762677,-0.0916991328253247,7112.746815308136,7390.0,0.2700266205173091,0.0351316205044088,415.0,0.0,2.0
2030_BCCS_SP126,2030.0,0.0217086445205479,1.7344058260347377,61.23050189485531,0.0319254482771248,-0.5697843976388035,-5154.784804691875,7495.0,0.2563499047963365,0.0326005138681328,280.0,3.0,18.0
2031_BCCS_SP126,2031.0,0.0227953006849315,1.666353731755538,46.96764249537176,-0.2568812866005464,-0.5913142442926613,-5789.804864691858,7388.0,0.2318316480572363,0.0299362363085228,408.0,0.0,12.0
2032_BCCS_SP126,2032.0,0.0200847210806697,1.832057674707352,41.60670495588391,0.0042557371250499,-0.272704792019351,-7767.252234691869,7626.0,0.2790598516827136,0.0342445849365249,306.0,0.0,5.0
2033_BCCS_SP126,2033.0,0.0227236314307458,1.6561903697267824,56.60157337396372,0.0004646579642921,-0.5631762822988047,559.1798853081411,7644.0,0.2584458775735433,0.0320223362788894,269.0,1.0,11.0
2034_BCCS_SP126,2034.0,0.0231962436073059,1.7106699675973558,73.17447043792635,0.1438194912271483,-0.6346990347452168,-13677.8908646918,7841.0,0.2629247664370616,0.0328459612613989,300.0,2.0,20.0
2035_BCCS_SP126,2035.0,0.0199447110350076,1.8540321589523845,60.35827381808901,-0.0387266476959289,-0.1918057375248976,-4713.271164691871,7718.0,0.2530198342022808,0.0329014159773356,394.0,8.0,17.0
2036_BCCS_SP126,2036.0,0.0215029945966514,1.7796600297240135,42.1722352915457,0.1033114674377496,-0.4435140661157519,-2355.832824691849,7548.0,0.2533176322512717,0.0333719661932494,337.0,1.0,5.0
2037_BCCS_SP126,2037.0,0.0190274654490106,1.937178967386392,42.65100490139982,0.389755928457388,0.0939482066579162,-9011.047384691885,7733.0,0.2588367253364793,0.0321666365890026,225.0,6.0,4.0
2038_BCCS_SP126,2038.0,0.0217783191780821,1.7225932884013444,41.78356446975024,0.2649234942002475,-0.01700007930466,-5789.50720469184,7676.0,0.2687080970937829,0.0364211011031383,346.0,2.0,5.0
2039_BCCS_SP126,2039.0,0.0221058642313546,1.6968069181660022,37.97963792100722,0.056910791230749,-0.5035173390611623,7086.538685308181,7289.0,0.2389661394375309,0.0350828713243468,499.0,0.0,3.0
2040_BCCS_SP126,2040.0,0.0212426804414003,1.740922812220837,36.56916447233493,0.2863163574953264,-0.5856259784521862,-1310.733714691864,7465.0,0.2498907432608999,0.0337230240086537,310.0,2.0,0.0
